identifier,record_id,revision_id,type,created_by,created,updated_by,updated,author,id,hridShelter,feature-source,overview-photo,shelter-type,belongs-to-shelter-subtype,locale-description,take-point-from-gps,take-point-from-gps_latitude,take-point-from-gps_longitude,take-point-from-gps_accuracy,landuse-on-top,landuse-around,feature-note,Map,entryway-type,accessiblity-of-shelter-during-visit,entryway-direction,entryway-photo,comments-on-entryway,emergency-exit-shape,emergency-exit-location,distance-from-swan-neck-to-emergency-exit-m,emergency-exit-photo,notes-on-emergency-exit,interior-description,comments-and-recommendations
0312-Other-Adela,rec-d7939b47-315e-4b68-a885-4307f87c1465,frev-d82288b4-5255-47b2-90bc-0949d90e337a,Shelter,,2024-10-18T10:11:00.454Z,1.09468306189159E+020,2024-10-18T10:11:00.454Z,Adela,312,0312-Other-Adela,Tommy Cassoes data,overview-photo/0312-Other-Adela-overview-photo.jpg,Other,NA,Viby stadium parking lot and Skandenborgvej,"{""type"":""Feature"",""properties"":{""timestamp"":1729245888985,""altitude"":50.29999923706055,""speed"":1.495157241821289,""heading"":186.1263885498047,""accuracy"":4.072999954223633,""altitude_accuracy"":2.0440266132354736},""geometry"":{""type"":""Point"",""coordinates"":[10.1538651,56.1243855]}}",56.1243855,10.1538651,4.07299995422363,Shrubs,Grassland or park,False positive? No shelter ascertained. Only water/sewage shady output in grassland next to tree patch that overlaps shelter point 124.  We went through the trees and found only toilet paper and trash. ,1,Access buried or indeterminate, Other, NOT AVAILABLE,entryway-photo/0312-Other-Adela-entryway-photo.jpg,,Round, NA,0,emergency-exit-photo/0312-Other-Adela-emergency-exit-photo.jpg,No pipe found.,Inaccessible ,
0314-III-Adela,rec-10967f8c-36d4-4207-adcd-227eb0393f67,frev-3a1bd452-ce6d-413c-8c03-15907f8d28ab,Shelter,,2024-10-18T10:45:26.459Z,1.09468306189159E+020,2024-10-18T11:39:51.091Z,Adela,314,0314-III-Adela,Tommy Cassoes data,overview-photo/0314-III-Adela-overview-photo.jpg,III,Single iteration,"Grass strip between vesterkongervej no. 5 and Skandenborgvej, in extension of earthen sound barrier ","{""type"":""Feature"",""properties"":{""timestamp"":1729248248980,""altitude"":55.85687143161855,""speed"":0.06035097688436508,""heading"":0,""accuracy"":3.5810000896453857,""altitude_accuracy"":1.2828470468521118},""geometry"":{""type"":""Point"",""coordinates"":[10.1544584,56.1239244]}}",56.1239244,10.1544584,3.58100008964539,Grass,Grassland or park,,1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), SSE,entryway-photo/0314-III-Adela-entryway-photo.jpg,Covered by grass but otherwise unspoilt , Square, Side,0.3,emergency-exit-photo/0314-III-Adela-emergency-exit-photo.jpg,,Inaccessible ,
0315-III-Adela,rec-1a9d3c87-d29b-43da-90cd-127e1e397326,frev-185c0574-5abe-44a6-b7bf-25b7d97c21aa,Shelter,,2024-10-18T11:44:54.284Z,1.09468306189159E+020,2024-10-18T11:50:59.598Z,Adela,315,0315-III-Adela,Tommy Cassoes data,overview-photo/0315-III-Adela-overview-photo.jpg,III,Single iteration,"Sket by school, number 1912, Sletvej at Intersection with Ellemosvej","{""type"":""Feature"",""properties"":{""timestamp"":1729251779985,""altitude"":115.19999694824219,""speed"":0.3202265799045563,""heading"":227.34678649902344,""accuracy"":3.2160000801086426,""altitude_accuracy"":1.6953123807907104},""geometry"":{""type"":""Point"",""coordinates"":[10.1417752,56.1044157]}}",56.1044157,10.1417752,3.21600008010864,Shrubs,Urban structures or paved,"On a earthen division of ellemosvej and local residential houses. Visible if you know what to look for, scrub on top not easy to climb on. ",1, Doorway, Locked, ENE,entryway-photo/0315-III-Adela-entryway-photo.jpg;entryway-photo/0315-III-Adela-entryway-photo_1.jpg,"Padlock on door, covered with cobwebs ", Square, Side,0.3,emergency-exit-photo/0315-III-Adela-emergency-exit-photo.jpg,,Inaccessible ,
0316-III-Adela,rec-4d4b53da-efe3-4899-8510-68233438c54f,frev-085a051b-e84e-4466-a807-093811939b24,Shelter,,2024-10-18T12:06:19.638Z,1.09468306189159E+020,2024-10-18T12:10:31.957Z,Adela,316,0316-III-Adela,Tommy Cassoes data,overview-photo/0316-III-Adela-overview-photo.jpg;overview-photo/0316-III-Adela-overview-photo_1.jpg,III,Single iteration,"Tranbjerg tvaervej 11-1, next to a small park","{""type"":""Feature"",""properties"":{""timestamp"":1729253139998,""altitude"":114,""speed"":0.047116994857788086,""heading"":0,""accuracy"":3.2160000801086426,""altitude_accuracy"":1.043296217918396},""geometry"":{""type"":""Point"",""coordinates"":[10.1345155,56.0960948]}}",56.0960948,10.1345155,3.21600008010864,Grass,Grassland or park,"Very nice, visible, accessible, mown grass on top shelter",1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),SSW,entryway-photo/0316-III-Adela-entryway-photo.jpg,"Clear old concrete, braced in 2022?", Square, Side,0.3,emergency-exit-photo/0316-III-Adela-emergency-exit-photo.jpg,"Covered with metal sheet, instead of concrete ",Inaccessible ,
0317-III-Adela,rec-19e2fbd7-7aa2-455f-8c8a-bd848c28e040,frev-fe504555-263c-47f2-872d-be1b0d000323,Shelter,,2024-10-18T12:35:46.300Z,1.09468306189159E+020,2024-10-18T12:46:47.046Z,Adela,317,0317-III-Adela,Tommy Cassoes data,overview-photo/0317-III-Adela-overview-photo.jpg;overview-photo/0317-III-Adela-overview-photo_1.jpg,III,A,Laurbaervaenget in Tranbjerg in cul de sac next to a meadow ,"{""type"":""Feature"",""properties"":{""timestamp"":1729254760999,""altitude"":107,""speed"":0.10412438958883286,""heading"":137.55223083496094,""accuracy"":3.2160000801086426,""altitude_accuracy"":1.7721196413040161},""geometry"":{""type"":""Point"",""coordinates"":[10.1446367,56.089252]}}",56.089252,10.1446367,3.21600008010864,Shrubs,Grassland or park,"Surrounded by a hedge, inaccessible ",1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), SW,entryway-photo/0317-III-Adela-entryway-photo.jpg,Obscured by hedge and shrub, Square, Side,0.3,emergency-exit-photo/0317-III-Adela-emergency-exit-photo.jpg,"Old concrete topped, only visible from the meadow",Inaccessible ,
0318-III-Adela,rec-d8d5d498-8311-4e32-b8ee-9bd4c9da1433,frev-47163501-d7fa-43df-be92-4598495c3c55,Shelter,,2024-10-18T14:12:37.909Z,1.09468306189159E+020,2024-10-18T14:33:15.060Z,Adela,318,0318-III-Adela,Tommy Cassoes data,overview-photo/0318-III-Adela-overview-photo.jpg;overview-photo/0318-III-Adela-overview-photo_1.jpg,III,Single iteration,Between Ringvej Sud and Bushøjvaenget in an earthworks sound barrier ,"{""type"":""Feature"",""properties"":{""timestamp"":1729260722999,""altitude"":119.07613750043672,""speed"":0.19297689199447632,""heading"":285.203857421875,""accuracy"":4.288000106811523,""altitude_accuracy"":6.502078533172607},""geometry"":{""type"":""Point"",""coordinates"":[10.1956184,56.1061415]}}",56.1061415,10.1956184,4.28800010681152,Shrubs,Urban structures or paved,"222+471, staircase leads to top between the two shelters",1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), SW,entryway-photo/0318-III-Adela-entryway-photo.jpg,"Accessible via a small path from both roads, very -  twice as - tall as usual entrances. ", Square, Side,0.3,,"Covered in trees and shrubs, hard to access, hard to photograph through the trees ",Inaccessible ,
0319-III-Adela,rec-07fabdd0-88fb-4afe-9cbc-789278bbe0dc,frev-353f1ad0-9634-44ad-b240-71849519c9e0,Shelter,,2024-10-18T14:23:52.237Z,1.09468306189159E+020,2024-10-18T14:35:55.045Z,Adela,319,0319-III-Adela,Tommy Cassoes data,overview-photo/0319-III-Adela-overview-photo.jpg,III,Single iteration,"Same as 318, 4 meters to the west of it. Photo shows entrance profile with sandfilter on top. ","{""type"":""Feature"",""properties"":{""timestamp"":1729261567999,""altitude"":119.05813364228692,""speed"":0.31532055139541626,""heading"":333.0529479980469,""accuracy"":11.61299991607666,""altitude_accuracy"":4.8392791748046875},""geometry"":{""type"":""Point"",""coordinates"":[10.1955186,56.1061543]}}",56.1061543,10.1955186,11.6129999160767,Shrubs,Urban structures or paved,"Inaccessible in scrub, GPS captured on to with 2  m of fest to east ",1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially), SW,entryway-photo/0319-III-Adela-entryway-photo.jpg,"Inaccessible, photo captured of sandfilter from top. Otherwise same as 318", Square, Side,0.3,emergency-exit-photo/0319-III-Adela-emergency-exit-photo.jpg;emergency-exit-photo/0319-III-Adela-emergency-exit-photo_1.jpg,"Inaccessible in scrub, hard to shoot ",Inaccessible ,
0320-IV-Adela,rec-0517968c-ce04-41bd-9099-1ec7c6cf278e,frev-c6c18506-2fe4-4251-a295-980b6ec82576,Shelter,,2024-10-18T15:18:51.131Z,1.09468306189159E+020,2024-10-18T15:47:14.793Z,Adela,320,0320-IV-Adela,Tommy Cassoes data,overview-photo/0320-IV-Adela-overview-photo.jpg;overview-photo/0320-IV-Adela-overview-photo_1.jpg,IV,Single iteration,"Bdnr 1917, on Oddervej square opposite Alexandre blomster","{""type"":""Feature"",""properties"":{""timestamp"":1729264723999,""altitude"":97.80000305175781,""speed"":0.5315914750099182,""heading"":92.3306655883789,""accuracy"":3.430000066757202,""altitude_accuracy"":3.0357232093811035},""geometry"":{""type"":""Point"",""coordinates"":[10.2091522,56.113107]}}",56.113107,10.2091522,3.4300000667572,Shrubs,Grassland or park,Easy to see but not in historic map location ,1, Other, Sealed (as in a layer of concrete seals a doorway), WSW,entryway-photo/0320-IV-Adela-entryway-photo.jpg,"Metal sheet covered, rusty and overgrown horizontal entry", Square,Central,1.5,emergency-exit-photo/0320-IV-Adela-emergency-exit-photo.jpg,"Covered with dog wine, tall at 1.7m from ground ",Inaccessible ,
0321-IV-Adela,rec-2c7e311a-256e-4472-8b43-4bde0a616eb3,frev-4e624b7d-e2bf-4421-8991-a233da534ba9,Shelter,,2024-10-18T15:43:24.332Z,1.09468306189159E+020,2024-10-18T15:45:30.933Z,Adela,321,0321-IV-Adela,Tommy Cassoes data,overview-photo/0321-IV-Adela-overview-photo.jpg,IV,Single iteration,"1918, on grumstolsvej near nagelsvej","{""type"":""Feature"",""properties"":{""timestamp"":1729265837000,""altitude"":84,""speed"":0.1674940288066864,""heading"":108.16571044921875,""accuracy"":3.3940000534057617,""altitude_accuracy"":1.6226638555526733},""geometry"":{""type"":""Point"",""coordinates"":[10.2093829,56.1165308]}}",56.1165308,10.2093829,3.39400005340576,Grass,Urban structures or paved,"1918, on grumstolsvej near nagelsvej, visible from 50 m accessible easily ",1, Doorway, Locked,NNW,entryway-photo/0321-IV-Adela-entryway-photo.jpg,,Round,Central,2,emergency-exit-photo/0321-IV-Adela-emergency-exit-photo.jpg;emergency-exit-photo/0321-IV-Adela-emergency-exit-photo_1.jpg,"Old, covered with concrete cover ",Inaccessible ,
0322-III-Adela,rec-e785e7b7-46a5-42e1-a174-1c29575c39ab,frev-2ee20105-4de6-446a-8636-953f3c542d17,Shelter,,2024-10-18T16:04:16.242Z,1.09468306189159E+020,2024-10-18T17:57:04.553Z,Adela,322,0322-III-Adela,Tommy Cassoes data,overview-photo/0322-III-Adela-overview-photo.jpg,III,Single iteration,Oddervej near Morvadsvej/Thorsmøllervej,"{""type"":""Feature"",""properties"":{""timestamp"":1729266927888,""altitude"":82.5999984741211,""speed"":0.3700000047683716,""heading"":229,""accuracy"":8.576000213623047,""altitude_accuracy"":2.895761489868164},""geometry"":{""type"":""Point"",""coordinates"":[10.2074154,56.1179816]}}",56.1179816,10.2074154,8.57600021362305,Trees,Urban structures or paved,"Single type Iii shelter In a fenced construction / water cleaning? yard, inaccessible, visible through fence",1,Concrete slabs, Barred (concrete slabs or earthen cover bar access fully or partially),W,entryway-photo/0322-III-Adela-entryway-photo.jpg,"Barred, fenced and obscured by scrub and trees", Square, Side,0.3,emergency-exit-photo/0322-III-Adela-emergency-exit-photo.jpg;emergency-exit-photo/0322-III-Adela-emergency-exit-photo_1.jpg,Hiding behind the tree and obscured by leaves,Inaccessible ,Revisit in winter for litter free photos
